url,dataset,номер_лота,площадь_м²,начальная_цена_руб,цена_за_м2_calc,округ,этаж_кат,этажность,тип_входа,наличие_метро,время_до_метро,расстояние_до_центра,расстояние_до_центра_округа,latitude,longitude,итоговая_цена_руб,превышение_цены_%,участники,год_торгов,статус,log_площадь,log_цена_за_м2,этаж_группа,is_floor_floor_1,is_floor_basement,is_floor_other,is_floor_floor_3_plus,is_floor_floor_2,is_small_area,is_center,metro_zone,price_category,area_per_metro,price_density
https://investmoscow.ru/tenders/tender/19923881,completed,19923881.0,140.5,20977000.0,149302.49110320286,САО,1,14.0,Отдельный,1,39.0,18.296862941022503,11.56848142900329,55.9131797,37.5561463,20977000.0,0.0,1.0,2025.0,Завершено,4.952299717083292,11.913736366396586,floor_1,1,0,0,0,0,0,0,10+,medium,3.5125,2731767.2164685344
https://investmoscow.ru/tenders/tender/19727388,completed,19727388.0,149.2,21089000.0,141347.18498659518,ЗАО,1,4.0,Вход через места общего пользования,1,12.0,7.0035948939186286,3.624647111831509,55.7514831,37.5053891,18980100.0,-10.0,9.0,2025.0,Завершено,5.011967739330034,11.858981522477537,floor_1,1,0,0,0,0,0,0,10+,medium,11.476923076923075,989938.4230418898
https://investmoscow.ru/tenders/tender/19727394,completed,19727394.0,206.1,26112000.0,126695.7787481805,ЗАО,unknown,15.0,Отдельный,0,7.0,7.0035948939186286,3.624647111831509,55.7514831,37.5053891,,0.0,0.0,2025.0,Завершено,5.333201768401539,11.749551941741204,other,0,0,1,0,0,0,0,5-10,expensive,25.7625,887325.9091218013
https://investmoscow.ru/tenders/tender/19969955,completed,19969955.0,39.5,1907000.0,48278.48101265823,Зеленоград,basement,12.0,Вход через места общего пользования,1,316.0,36.6619228994357,2.5074808578128245,55.991971,37.214241,2383750.0,25.0,2.0,2026.0,Завершено,3.701301974112493,10.784761925623,basement,0,1,0,0,0,1,0,10+,cheap,0.1246056782334384,1769981.9485879466
https://investmoscow.ru/tenders/tender/19924985,completed,19924985.0,39.5,1907000.0,48278.48101265823,Зеленоград,basement,12.0,Вход через места общего пользования,1,316.0,36.6619228994357,2.5074808578128245,55.991971,37.214241,,0.0,0.0,2025.0,Завершено,3.701301974112493,10.784761925623,basement,0,1,0,0,0,1,0,10+,cheap,0.1246056782334384,1769981.9485879466
https://investmoscow.ru/tenders/tender/19853650,completed,19853650.0,228.8,9717000.0,42469.4055944056,Зеленоград,basement,12.0,Отдельный,1,0.0,36.6619228994357,2.5074808578128245,55.991971,37.214241,7773600.0,-20.0,5.0,2025.0,Завершено,5.437209365414655,10.656562773400768,basement,0,1,0,0,0,0,0,0-5,cheap,228.8,1557010.0734869614
https://investmoscow.ru/tenders/tender/19803412,completed,19803412.0,228.8,9717000.0,42469.4055944056,Зеленоград,basement,12.0,Отдельный,1,0.0,36.6619228994357,2.5074808578128245,55.991971,37.214241,,0.0,0.0,2025.0,Завершено,5.437209365414655,10.656562773400768,basement,0,1,0,0,0,0,0,0-5,cheap,228.8,1557010.0734869614
https://investmoscow.ru/tenders/tender/19780614,completed,19780614.0,228.8,9717000.0,42469.4055944056,Зеленоград,basement,12.0,Отдельный,1,0.0,36.6619228994357,2.5074808578128245,55.991971,37.214241,,0.0,0.0,2025.0,Завершено,5.437209365414655,10.656562773400768,basement,0,1,0,0,0,0,0,0-5,cheap,228.8,1557010.0734869614
https://investmoscow.ru/tenders/tender/19763356,completed,19763356.0,103.0,13891500.0,134868.93203883496,Зеленоград,1,12.0,Отдельный,1,1.0,36.6619228994357,2.5074808578128245,55.991971,37.214241,,0.0,0.0,2025.0,Завершено,4.6443908991413725,11.8120661266095,floor_1,1,0,0,0,0,0,0,0-5,medium,51.5,4944554.387937001
https://investmoscow.ru/tenders/tender/19726802,completed,19726802.0,103.0,13891500.0,134868.93203883496,Зеленоград,1,12.0,Отдельный,1,1.0,36.6619228994357,2.5074808578128245,55.991971,37.214241,,0.0,0.0,2025.0,Завершено,4.6443908991413725,11.8120661266095,floor_1,1,0,0,0,0,0,0,0-5,medium,51.5,4944554.387937001
https://investmoscow.ru/tenders/tender/19732135,completed,19732135.0,269.7,14074000.0,52183.90804597701,ВАО,basement,6.0,Отдельный,1,5.0,7.106986692663226,2.3711251957389328,55.7862176,37.71366,14074000.0,0.0,1.0,2025.0,Завершено,5.601011196620256,10.862548614174932,basement,0,1,0,0,0,0,0,0-5,medium,44.95,370870.3400539201
https://investmoscow.ru/tenders/tender/19732000,completed,19732000.0,532.4,42286000.0,79425.24417731029,ВАО,basement,6.0,Отдельный,1,5.0,7.106986692663226,2.3711251957389328,55.7862176,37.71366,42286000.0,0.0,1.0,2025.0,Завершено,6.279271611747914,11.282584123822206,basement,0,1,0,0,0,0,0,0-5,expensive,88.73333333333333,564474.1534296717
https://investmoscow.ru/tenders/tender/19947296,completed,19947296.0,1275.1,175837000.0,137900.556819073,ЮАО,1,5.0,Отдельный,1,5.0,5.725986273329115,4.975490832505432,55.7047581,37.6543151,,0.0,0.0,2026.0,Завершено,7.1515638307399305,11.83429535319608,floor_1,1,0,0,0,0,0,0,0-5,expensive,212.51666666666665,789616.6954304538
https://investmoscow.ru/tenders/tender/19887183,completed,19887183.0,1275.1,175837000.0,137900.556819073,ЮАО,1,5.0,Отдельный,1,5.0,5.725986273329115,4.975490832505432,55.7047581,37.6543151,,0.0,0.0,2025.0,Завершено,7.1515638307399305,11.83429535319608,floor_1,1,0,0,0,0,0,0,0-5,expensive,212.51666666666665,789616.6954304538
https://investmoscow.ru/tenders/tender/19886951,completed,19886951.0,333.1,51430000.0,154398.07865505852,ЮАО,4,5.0,Вход через места общего пользования,1,5.0,5.725986273329115,4.975490832505432,55.7047581,37.6543151,51430000.0,0.0,1.0,2025.0,Завершено,5.811440349362711,11.947295949295023,floor_3_plus,0,0,0,1,0,0,0,0-5,expensive,55.51666666666667,884081.279007254
