lot_id,action,old_tw,new_tw,old_conf,new_conf,gap_days,company
19746757,added,,gap_snapshot_2025-09,,medium,202,"Крод, Строительная компания | Цветочная лавка, г. Москва | Аль табак HQD, магазин табачной продукции"
19753326,added,,gap_snapshot_2025-09,,medium,189,"Албин Ганз, оружейный магазин | Банк ВТБ, банк"
19755375,added,,gap_snapshot_2025-09,,medium,195,"Nor Hayastan Dance, студия | Sola, школа вокала"
19757060,added,,gap_snapshot_2025-09,,high,193,Дом быта
19758282,added,,gap_snapshot_2025-09,,high,194,"Красное&Белое, продуктовый магазин"
19760837,added,,gap_snapshot_2026-02,,medium,332,"Ozon | Магнит, супермаркет"
19761522,added,,gap_snapshot_2025-09,,medium,188,"Золотая Корона, система платёжных сервисов | Piazza roma, магазин"
19762430,added,,gap_snapshot_2026-02,,medium,338,Ozon
19764061,added,,gap_snapshot_2025-09,,high,179,Рем-СтиралОк
19766533,added,,gap_snapshot_2025-09,,medium,173,"One Price, кофейня | МосТабак, магазин | 585*Золотой"
19766630,added,,gap_snapshot_2025-09,,high,168,Ozon
19768252,added,,gap_snapshot_2025-09,,medium,165,"Ozon | Wildberries, пункт выдачи интернет-заказов | Магнит Маркет, пункт выдачи заказов"
19769161,added,,gap_snapshot_2025-09,,high,166,"Wildberries, пункт выдачи интернет-заказов"
19769585,added,,gap_snapshot_2025-09,,high,160,Психологический центр
19769805,added,,gap_snapshot_2025-09,,medium,161,"Ozon | Русская школа искусств | Wildberries, пункт выдачи интернет-заказов"
19771976,added,,gap_snapshot_2025-09,,medium,154,Точка буккроссинга
19774448,added,,gap_snapshot_2026-02,,medium,304,"Wildberries, пункт выдачи интернет-заказов"
19774589,added,,gap_snapshot_2026-02,,medium,304,"Абрикос фловерс, цветочная мастерская | Магнит Сити"
19775433,added,,gap_snapshot_2025-09,,medium,153,"Юг столицы, центр досуга, культуры и спорта | Wildberries, пункт выдачи интернет-заказов | Dr. AkNer, клиника"
19775843,added,,gap_snapshot_2025-09,,medium,153,"Ozon, пункт выдачи товара | Самокат, служба доставки | Гормедтехника департамента здравоохранения г. Москвы, филиал №107"
19776137,added,,gap_snapshot_2025-09,,high,126,"Яндекс Маркет, пункт выдачи интернет-заказов"
19778694,added,,gap_snapshot_2025-09,,medium,131,"Мой досуговый центр Атлант, центр спорта и досуга | Wildberries, пункт выдачи интернет-заказов"
19778993,added,,gap_snapshot_2025-09,,high,124,"Красное&Белое, продуктовый магазин"
19781909,added,,gap_snapshot_2025-09,,high,131,"Технология ММ, компания"
19783211,added,,gap_snapshot_2026-04,,medium,344,"Ozon | Wildberries, пункт выдачи заказов"
19783247,added,,gap_snapshot_2025-09,,medium,123,"Beauty fox, студия депиляции | Me Amo | Школа логопеда"
19783843,added,,gap_snapshot_2025-09,,medium,117,"Кабинет адвоката Петриной Е.А. | Bravis, винный ресторан"
19783882,added,,gap_snapshot_2026-02,,medium,282,"Ozon | Яндекс Маркет, пункт выдачи интернет-заказов | Wildberries, пункт выдачи интернет-заказов"
