lot_id,status,after_days,after_snapshot,confidence,likely_company,dropped
19474577,added,580,2025-09,medium,"Wildberries, пункт выдачи интернет-заказов",
19474628,added,580,2025-09,medium,"Молодечномебель, торговый дом","AREA(507m² vs 5-480): Ozon || IMPLAUSIBLE: Живая вода, водомат (Напитки -> Питьевая вода)"
19478796,added,579,2025-09,medium,ReVoice | Интертэк | Кабинет массажа,
19479416,added,578,2025-09,medium,"Гемотест, медицинская лаборатория | Ozon",IMPLAUSIBLE: Жилищник района Хамовники (Жилищно-коммунальные услуги -> Жилищно-коммунальные услуги)
19481466,added,573,2025-09,medium,"ЭкоПросто, контейнер для сбора блистеров от таблеток",
19499842,added,564,2025-09,medium,Дошкольное отделение,
19514087,added,550,2025-09,medium,"Налоговая инспекция №14 | Гермес, автошкола",
19519385,added,544,2025-09,medium,"Красное&Белое, продуктовый магазин",
19521127,added,532,2025-09,medium,"Медлайн-сервис, медицинский центр | Evita Store, интернет-магазин",IMPLAUSIBLE: Кофейный автомат (Общественное питание -> Кофейные автоматы)
19521945,added,539,2025-09,medium,"Wildberries, пункт выдачи интернет-заказов",
19531267,added,530,2025-09,medium,"Делсер, сервисный центр | Wildberries, пункт выдачи интернет-заказов",IMPLAUSIBLE: Эксплуатирующая организация (Жилищно-коммунальные услуги -> Жилищно-коммунальные услуги)
19532877,added,496,2025-09,medium,iPodcast,
19535480,added,522,2025-09,medium,"Старая крепость, кафе",
19536744,added,490,2025-09,medium,Центр лазерной стоматологии | Китайский центр здоровья,
19536748,added,459,2025-09,medium,Центр лазерной стоматологии | Китайский центр здоровья,
19540015,added,494,2025-09,medium,Компания по распечатке и продаже картриджей,
19541892,added,494,2025-09,medium,"Autodoc.ru, магазин автозапчастей",
19543255,added,494,2025-09,medium,"Autodoc.ru, магазин автозапчастей",
19544413,added,503,2025-09,medium,"Мэднесс, салон красоты | Epilline, студия эпиляции","IMPLAUSIBLE: Обитель Милосердия, благотворительный фонд (Общественные / политические организации -> Благотворительные)"
19544559,added,502,2025-09,medium,"Laser Planet, студия эпиляции",
19545087,added,503,2025-09,medium,Radiant wood,"IMPLAUSIBLE: Участок №18, Участковый пункт полиции (Правоохранительные органы -> Участковые пункты полиции)"
19548880,added,489,2025-09,medium,"Ozon | Авито, пункт выдачи заказов",
19557736,added,489,2025-09,medium,"Лесничая и Финогенова, студия дизайна",
19558528,added,487,2025-09,medium,"Выездной сервисный центр по ремонту стиральных машин | Биовет, ветеринарная клиника",
19561126,added,468,2025-09,medium,"Центр гигиены и эпидемиологии г. Москвы, Отделение санитарной бактериологии микробиологической лаборатории | Тайрай, SPA-салон | Кьюбит Технолоджи",
19567381,added,482,2025-09,medium,"Epsom pro, интернет-магазин",
19567645,added,482,2025-09,medium,Психоневрологический диспансер №18,"IMPLAUSIBLE: Uvenco, кофейный автомат (Напитки, Общественное питание, Продукты питания -> Безалкого)"
19569846,added,489,2025-09,medium,"Sevaro elit, торгово-производственная компания",
19570132,added,468,2025-09,medium,"Магнит, супермаркет",
19571722,added,474,2025-09,medium,"Atomy, пункт выдачи заказов | CompoDoc | Акварель , издательство",
