номер_лота,площадь_м²,этаж,confidence,source,status,orig_company,new_company,dropped,drop_reasons
19810721,69.0,1,medium,gap_snapshot_2026-04,unchanged,Дикси | Автошкола №1,Дикси | Автошкола №1,,
19810722,109.7,1,medium,gap_snapshot_2026-04,unchanged,Дикси | Автошкола №1,Дикси | Автошкола №1,,
19810723,108.7,1,medium,gap_snapshot_2026-04,unchanged,Дикси | Автошкола №1,Дикси | Автошкола №1,,
19810724,143.5,1,medium,gap_snapshot_2026-04,unchanged,Магнит,Магнит,,
19810872,78.0,1,medium,gap_snapshot_2026-02,unchanged,Ozon | Магнит,Ozon | Магнит,,
19813468,286.5,1,high,gap_snapshot_2025-09,unchanged,Ozon,Ozon,,
19814948,212.5,"Подвал, 1",medium,gap_snapshot_2026-02,filtered_candidates,СДЭК | Меридиан | Gymstar столица,СДЭК | Меридиан,Gymstar столица,AREA_MISMATCH(212m² vs 250-6000 for Спорт): Gymstar столица
19815344,77.2,1 этаж,medium,gap_snapshot_2025-09,unchanged,Dazzle Beauty | Big City English,Dazzle Beauty | Big City English,,
19815367,62.3,Подвал,medium,gap_snapshot_2025-09,unchanged,Мосгорломбард | Культура гастро | Дошкольное отделение №4,Мосгорломбард | Культура гастро | Дошкольное отделение №4,,
19815810,140.2,1 этаж,medium,gap_snapshot_2025-09,unchanged,Сврк | Лингво Сервис,Сврк | Лингво Сервис,,
19816366,87.5,1,medium,gap_snapshot_2025-09,unchanged,Красное&Белое | У Эльзы,Красное&Белое | У Эльзы,,
19816556,307.2,Подвал,medium,gap_snapshot_2026-02,unchanged,Ангара | Ozon | Гемотест,Ангара | Ozon | Гемотест,,
19817967,596.9,"1 этаж, Подвал",high,gap_snapshot_2025-09,unchanged,НМЦ,НМЦ,,
19820082,270.1,1,medium,gap_snapshot_2025-09,unchanged,Wildberries,Wildberries,,
19820712,105.7,1,medium,gap_snapshot_2026-04,unchanged,Wildberries | Винлаб | Самокат,Wildberries | Винлаб | Самокат,,
19820713,77.9,1,medium,gap_snapshot_2026-04,unchanged,Wildberries | Винлаб | Самокат,Wildberries | Винлаб | Самокат,,
19820719,78.3,1,medium,gap_snapshot_2026-04,unchanged,Ozon | Wildberries,Ozon | Wildberries,,
19820737,142.6,1,high,gap_snapshot_2026-02,unchanged,Wildberries,Wildberries,,
19820747,179.7,1,high,gap_snapshot_2026-02,unchanged,Здравсити,Здравсити,,
19820760,131.2,1,high,gap_snapshot_2025-09,unchanged,Фасоль,Фасоль,,
19823482,45.9,1 этаж,high,gap_snapshot_2025-09,unchanged,Freshdom,Freshdom,,
19823511,1118.5,"Подвал, 1",high,gap_snapshot_2025-09,unchanged,Школа РЖиК,Школа РЖиК,,
19824648,157.4,1,medium,gap_snapshot_2026-04,unchanged,Wildberries | Салон красоты,Wildberries | Салон красоты,,
19824790,167.3,Подвал,medium,gap_snapshot_2026-02,unchanged,Студия дизайна | Пеперон,Студия дизайна | Пеперон,,
19827258,280.3,1 этаж,high,gap_snapshot_2025-09,unchanged,Sv,Sv,,
19828535,108.9,1,medium,gap_snapshot_2025-09,unchanged,Wildberries | МК,Wildberries | МК,,
19828745,46.9,1 этаж,medium,gap_snapshot_2025-09,filtered_candidates,Ozon | Самокат | Гормедтехника департамента здравоохранения г. Москвы,Ozon | Гормедтехника департамента здравоохранения г. Москвы,Самокат,AREA_MISMATCH(47m² vs 50-42000 for Дарксторы): Самокат
19830111,51.6,1,medium,gap_snapshot_2025-09,unchanged,Soda,Soda,,
19833501,55.3,1,high,gap_snapshot_2026-04,unchanged,Wildberries,Wildberries,,
19841650,56.5,1,medium,gap_snapshot_2026-04,unchanged,Ozon | Wildberries,Ozon | Wildberries,,
19847691,315.6,Подвал,high,gap_snapshot_2026-04,unchanged,Helix Express,Helix Express,,
19848136,77.9,1,medium,gap_snapshot_2026-04,unchanged,Ozon | Wildberries,Ozon | Wildberries,,
19849806,68.8,2,high,gap_snapshot_2026-02,unchanged,Стекло-люкс,Стекло-люкс,,
19849868,94.2,1 этаж,medium,gap_snapshot_2026-02,unchanged,Фикс | Sound body | Surf Coffee x Noble,Фикс | Sound body | Surf Coffee x Noble,,
19851523,139.2,1,medium,gap_snapshot_2026-04,unchanged,Wildberries | Винлаб | Самокат,Wildberries | Винлаб | Самокат,,
19851572,162.5,1,medium,gap_snapshot_2026-02,unchanged,Минимаркет,Минимаркет,,
19851594,134.0,1,medium,gap_snapshot_2026-02,unchanged,Nails by Star | Wildberries,Nails by Star | Wildberries,,
19852368,77.6,1,medium,gap_snapshot_2026-04,unchanged,Грин-Роуз,Грин-Роуз,,
19852373,177.7,1,medium,gap_snapshot_2026-04,unchanged,Грин-Роуз,Грин-Роуз,,
19852465,36.2,1,high,gap_snapshot_2026-04,unchanged,Wildberries,Wildberries,,
19852493,51.0,1,high,gap_snapshot_2026-04,unchanged,Wildberries,Wildberries,,
19852522,44.2,1,high,gap_snapshot_2026-04,unchanged,Wildberries,Wildberries,,
19852563,73.6,1,high,gap_snapshot_2026-04,unchanged,Wildberries,Wildberries,,
19852589,88.4,1,high,gap_snapshot_2026-04,unchanged,Wildberries,Wildberries,,
19852595,81.7,1,medium,gap_snapshot_2026-02,unchanged,Вис | Московский фонд реновации жилой застройки,Вис | Московский фонд реновации жилой застройки,,
19852612,49.2,1,high,gap_snapshot_2026-04,unchanged,Wildberries,Wildberries,,
19852615,179.1,1,medium,gap_snapshot_2026-04,unchanged,Пилка Катрин,Пилка Катрин,,
19852640,136.8,1,medium,gap_snapshot_2026-04,unchanged,Пилка Катрин,Пилка Катрин,,
19852679,42.8,1,high,gap_snapshot_2026-04,unchanged,Wildberries,Wildberries,,
19852699,90.0,1,high,gap_snapshot_2026-04,unchanged,Wildberries,Wildberries,,
19852861,171.1,Подвал,medium,gap_snapshot_2026-02,unchanged,Столички,Столички,,
19853603,55.8,Подвал,medium,gap_snapshot_2026-02,unchanged,Е.В.А. | Лига,Е.В.А. | Лига,,
19854843,46.6,1 этаж,high,gap_snapshot_2026-04,unchanged,Wildberries,Wildberries,,
19854877,43.4,1 этаж,high,gap_snapshot_2026-04,unchanged,Wildberries,Wildberries,,
19854896,120.1,1 этаж,high,gap_snapshot_2026-02,unchanged,Wildberries,Wildberries,,
19854906,88.2,1 этаж,medium,gap_snapshot_2026-04,unchanged,Ozon | Wildberries,Ozon | Wildberries,,
19854917,71.3,1 этаж,medium,gap_snapshot_2026-04,unchanged,Ozon | Wildberries,Ozon | Wildberries,,
19854924,61.8,1 этаж,medium,gap_snapshot_2026-04,unchanged,Ozon | Wildberries,Ozon | Wildberries,,
19855247,70.5,Подвал,medium,gap_snapshot_2026-02,unchanged,Сверх-Я,Сверх-Я,,
19855428,326.6,1 этаж,medium,gap_snapshot_2026-04,unchanged,Фармленд,Фармленд,,
19856881,57.6,1,high,gap_snapshot_2026-02,unchanged,Wildberries,Wildberries,,
19856957,38.1,1,high,gap_snapshot_2026-04,unchanged,Wildberries,Wildberries,,
19856988,68.4,1,high,gap_snapshot_2026-04,unchanged,Wildberries,Wildberries,,
19857010,75.5,1,high,gap_snapshot_2026-04,unchanged,Wildberries,Wildberries,,
19857041,81.1,1,high,gap_snapshot_2026-04,unchanged,Wildberries,Wildberries,,
19857053,76.0,1,high,gap_snapshot_2026-04,unchanged,Wildberries,Wildberries,,
19857265,81.4,1,high,gap_snapshot_2026-04,unchanged,Wildberries,Wildberries,,
19859382,97.4,1 этаж,medium,gap_snapshot_2026-04,unchanged,Разноцветные цыплята | Ozon,Разноцветные цыплята | Ozon,,
19859608,74.8,1,medium,gap_snapshot_2026-04,unchanged,Ozon | Wildberries | Авито,Ozon | Wildberries | Авито,,
19859642,100.2,1,medium,gap_snapshot_2026-04,unchanged,Ozon | Wildberries | Авито,Ozon | Wildberries | Авито,,
19859716,57.6,1,medium,gap_snapshot_2026-04,unchanged,Ozon | Wildberries | Авито,Ozon | Wildberries | Авито,,
19859759,147.5,1,medium,gap_snapshot_2026-04,unchanged,Ozon | Wildberries | Авито,Ozon | Wildberries | Авито,,
19859803,51.7,1,medium,gap_snapshot_2026-04,unchanged,Ozon | Wildberries | Авито,Ozon | Wildberries | Авито,,
19859855,74.0,1,medium,gap_snapshot_2026-04,unchanged,Ozon | Wildberries | Авито,Ozon | Wildberries | Авито,,
19859887,51.0,1,medium,gap_snapshot_2026-04,unchanged,Ozon | Wildberries | Авито,Ozon | Wildberries | Авито,,
19859948,94.8,1,medium,gap_snapshot_2026-04,unchanged,Ozon | Wildberries | Авито,Ozon | Wildberries | Авито,,
19861668,1240.3,"1 этаж, Подвал",medium,gap_snapshot_2026-02,unchanged,Магазин рыбы и мяса | Магазин колбас,Магазин рыбы и мяса | Магазин колбас,,
19863292,73.7,1 этаж,medium,gap_snapshot_2026-02,unchanged,Вис | Московский фонд реновации жилой застройки,Вис | Московский фонд реновации жилой застройки,,
19863301,84.2,1,medium,gap_snapshot_2026-02,unchanged,Вис | Московский фонд реновации жилой застройки,Вис | Московский фонд реновации жилой застройки,,
19863316,140.8,1,medium,gap_snapshot_2026-02,unchanged,Вис | Московский фонд реновации жилой застройки,Вис | Московский фонд реновации жилой застройки,,
19863340,63.7,1,medium,gap_snapshot_2026-02,unchanged,Вис | Московский фонд реновации жилой застройки,Вис | Московский фонд реновации жилой застройки,,
19863360,81.4,1,medium,gap_snapshot_2026-02,unchanged,Вис | Московский фонд реновации жилой застройки,Вис | Московский фонд реновации жилой застройки,,
19863548,71.7,1,medium,gap_snapshot_2026-02,unchanged,Вис | Московский фонд реновации жилой застройки,Вис | Московский фонд реновации жилой застройки,,
19863559,105.6,1,medium,gap_snapshot_2026-02,unchanged,Вис | Московский фонд реновации жилой застройки,Вис | Московский фонд реновации жилой застройки,,
19864703,12.4,1 этаж,high,gap_snapshot_2026-02,unchanged,Тот-сервис,Тот-сервис,,
19864893,167.9,1,medium,gap_snapshot_2026-04,unchanged,Ozon | Wildberries,Ozon | Wildberries,,
19864910,89.5,1,medium,gap_snapshot_2026-04,unchanged,Ozon | Wildberries,Ozon | Wildberries,,
19865661,270.5,Подвал,high,0-180d_recent_2026-04,unchanged,"Веловорот, мастерская по ремонту велосипедов","Веловорот, мастерская по ремонту велосипедов",,
19865728,76.9,1 этаж,medium,gap_snapshot_2026-02,unchanged,Красное&Белое,Красное&Белое,,
19865990,113.1,Подвал,medium,gap_snapshot_2026-02,unchanged,Марквет | Точка быстрого питания,Марквет | Точка быстрого питания,,
19866367,137.7,Подвал,high,gap_snapshot_2026-02,unchanged,Московское долголетие,Московское долголетие,,
19867804,141.5,1,medium,gap_snapshot_2026-02,unchanged,Красное&Белое | Магазин овощей и фруктов | Василиция,Красное&Белое | Магазин овощей и фруктов | Василиция,,
19876860,48.5,1,medium,gap_snapshot_2026-04,unchanged,Ozon | Wildberries | Винлаб,Ozon | Wildberries | Винлаб,,
19876863,52.0,1,medium,gap_snapshot_2026-04,unchanged,Ozon | Wildberries | Винлаб,Ozon | Wildberries | Винлаб,,
19876870,93.7,1,medium,0-180d_recent_2026-04,unchanged,"Ozon | Wildberries, пункт выдачи заказов","Ozon | Wildberries, пункт выдачи заказов",,
19877131,145.0,1,medium,gap_snapshot_2026-02,unchanged,Кабинет массажа | PECO-гарантия | Винтаж,Кабинет массажа | PECO-гарантия | Винтаж,,
19877692,84.3,1,medium,0-180d_recent_2026-04,unchanged,"NailDi, ногтевая студия | Ozon | Aura","NailDi, ногтевая студия | Ozon | Aura",,
19878416,26.9,Подвал,medium,gap_snapshot_2026-02,unchanged,Московское долголетие,Московское долголетие,,
19880867,233.0,Подвал,medium,0-180d_recent_2026-04,unchanged,"tattoo-globus, студия | Кабинет логопеда","tattoo-globus, студия | Кабинет логопеда",,
19881261,481.0,3,high,gap_snapshot_2026-02,unchanged,Много места,Много места,,
19885014,88.8,1,medium,gap_snapshot_2026-02,unchanged,Вис | Московский фонд реновации жилой застройки,Вис | Московский фонд реновации жилой застройки,,
19885042,87.3,1,medium,gap_snapshot_2026-02,unchanged,Вис | Московский фонд реновации жилой застройки,Вис | Московский фонд реновации жилой застройки,,
19885058,101.1,1,medium,0-180d_recent_2026-04,unchanged,"Яндекс Маркет, пункт выдачи заказов","Яндекс Маркет, пункт выдачи заказов",,
19885076,62.0,1,medium,gap_snapshot_2026-02,unchanged,Вис | Московский фонд реновации жилой застройки,Вис | Московский фонд реновации жилой застройки,,
19885138,56.0,1,medium,gap_snapshot_2026-02,unchanged,Вис | Московский фонд реновации жилой застройки,Вис | Московский фонд реновации жилой застройки,,
19885377,461.2,1,medium,0-180d_recent_2026-04,unchanged,"Ozon | Сфера тела, студия эпиляции и массажа","Ozon | Сфера тела, студия эпиляции и массажа",,
19889114,282.1,Подвал,medium,0-180d_recent_2026-04,unchanged,"Geo Stom, стоматология","Geo Stom, стоматология",,
19890862,44.5,1 этаж,high,gap_snapshot_2026-02,unchanged,Скульпторы тела,Скульпторы тела,,
19890909,173.4,1,high,gap_snapshot_2026-04,unchanged,Wildberries,Wildberries,,
19892872,246.5,Подвал,high,gap_snapshot_2026-02,unchanged,Пенная борода,Пенная борода,,
