lot_id,url,source,purchase_date,snapshot_label,days_after_purchase,confidence,likely_company,likely_usage,candidate_count
19682891,https://investmoscow.ru/tenders/tender/19682891,baseline,23.10.2024 17:00,2025-09,342,high,"Миндаль , студия маникюра","Красота / Здоровье -> Ногтевые студии, Услуги по оформлению ресниц / бровей",1
19688834,https://investmoscow.ru/tenders/tender/19688834,baseline,05.11.2024 17:00,2025-09,329,medium,"Выездной сервисный центр по ремонту стиральных машин | Биовет, ветеринарная клиника",Аудио / Видео / Бытовая техника -> Ремонт / установка бытовой техники | Ветеринария -> Ветеринарные клиники,2
19690755,https://investmoscow.ru/tenders/tender/19690755,baseline,14.11.2024 17:00,2025-09,320,medium,"Wildberries, пункт выдачи интернет-заказов | Chargex, станция зарядки телефонов",Грузоперевозки / Транспортные услуги -> Пункты выдачи интернет-заказов | Средства связи -> Станции зарядки телефонов,2
19695563,https://investmoscow.ru/tenders/tender/19695563,baseline,15.11.2024 17:00,2025-09,319,high,"Не просто вещь, пункт приема одежды",Бытовые услуги -> Пункты приёма,1
19696390,https://investmoscow.ru/tenders/tender/19696390,baseline,19.11.2024 17:00,2025-09,315,high,Митино-20,Автотранспорт -> Гаражные кооперативы,1
19706506,https://investmoscow.ru/tenders/tender/19706506,baseline,29.11.2024 17:00,2025-09,305,medium,Roses and lace,Одежда / Аксессуары -> Швейное производство,1
19707897,https://investmoscow.ru/tenders/tender/19707897,baseline,11.12.2024 17:00,2025-09,293,high,Центр информирования по переселению,Аварийные / справочные / экстренные службы -> Справочные,1
19707898,https://investmoscow.ru/tenders/tender/19707898,baseline,11.12.2024 17:00,2025-09,293,high,Центр информирования по переселению,Аварийные / справочные / экстренные службы -> Справочные,1
19707899,https://investmoscow.ru/tenders/tender/19707899,baseline,11.12.2024 17:00,2025-09,293,high,Центр информирования по переселению,Аварийные / справочные / экстренные службы -> Справочные,1
19707925,https://investmoscow.ru/tenders/tender/19707925,baseline,11.12.2024 17:00,2025-09,293,medium,Ozon,Грузоперевозки / Транспортные услуги -> Пункты выдачи интернет-заказов,1
19707926,https://investmoscow.ru/tenders/tender/19707926,baseline,11.12.2024 17:00,2025-09,293,medium,Ozon,Грузоперевозки / Транспортные услуги -> Пункты выдачи интернет-заказов,1
19707927,https://investmoscow.ru/tenders/tender/19707927,baseline,11.12.2024 17:00,2025-09,293,medium,Ozon,Грузоперевозки / Транспортные услуги -> Пункты выдачи интернет-заказов,1
19710186,https://investmoscow.ru/tenders/tender/19710186,baseline,17.12.2024 17:00,2025-09,287,medium,"Московский, постамат | Дикси go!",Бытовые услуги -> Постаматы | Торговые комплексы -> Супермаркеты,2
19710843,https://investmoscow.ru/tenders/tender/19710843,baseline,12.12.2024 17:00,2025-09,292,medium,Ozon,Грузоперевозки / Транспортные услуги -> Пункты выдачи интернет-заказов,1
19710857,https://investmoscow.ru/tenders/tender/19710857,baseline,12.12.2024 17:00,2025-09,292,medium,"Московское долголетие, центр московского долголетия и молодости | PёsDuke Grooming, груминг-салон",Центры творчества и досуга -> Культурно-досуговые центры для взрослых | Товары / услуги для животных -> Уход за животными,2
19718909,https://investmoscow.ru/tenders/tender/19718909,baseline,18.12.2024 17:00,2025-09,286,medium,SabiLab,"Красота / Здоровье -> Ногтевые студии, Услуги по оформлению ресниц / бровей",1
19649441,https://investmoscow.ru/tenders/tender/19649441,baseline,23.01.2025 10:00,2025-09,250,medium,Пункт сбора отработанных ртутных ламп,Бытовые услуги -> Пункты приёма,1
