url,номер_лота,площадь_м²,начальная_цена_руб,цена_за_м²,размер_задатка_руб,шаг_аукциона_руб,итоговая_цена_руб,превышение_цены_%,адрес,кадастровый_номер,метро,этаж,этажность,функциональное_назначение,тип_входа,форма_проведения,год_торгов,статус,дата_начала_приёма,дата_окончания_приёма,дата_отбора_участников,дата_проведения_торгов,дата_подведения_итогов,platformLink,ссылка_на_протокол
https://investmoscow.ru/tenders/tender/19530690,19530690,286.0,64088900.0,224087.06,"6 408 890,00 руб.","3 204 445,00 руб.",,,"Западный административный округ, Кунцево, Полоцкая улица, дом 23, Этаж № 1",77:07:0004008:8786,Молодёжная (12 мин),1 этаж,5,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,06.03.2024 20:00:00,11.04.2024 15:00:00,18.04.2024 10:00,23.04.2024 10:00,23.04.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000018722,
https://investmoscow.ru/tenders/tender/19479058,19479058,286.0,64088900.0,224087.06,"6 408 890,00 руб.","3 204 445,00 руб.",,,"Западный административный округ, Кунцево, Полоцкая улица, дом 23, Этаж № 1",77:07:0004008:8786,Молодёжная (12 мин),1 этаж,5,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,19.01.2024 20:00:00,22.02.2024 15:00:00,29.02.2024 10:00,05.03.2024 10:00,05.03.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000017955,
https://investmoscow.ru/tenders/tender/19603151,19603151,206.1,23112900.0,112144.1,"2 311 290,00 руб.","1 155 645,00 руб.","23112900,00",0.0%,"Юго-Западный административный округ, Южное Бутово, улица Маршала Савицкого, дом 30, корпус 1, Этаж № 1",77:06:0012020:16992,Бульвар Дмитрия Донского (108 мин),1 этаж,14,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,31.05.2024 20:00:00,03.07.2024 15:00:00,10.07.2024 10:00,12.07.2024 10:00,12.07.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000020719,
https://investmoscow.ru/tenders/tender/19549621,19549621,206.1,23112900.0,112144.1,"2 311 290,00 руб.","1 155 645,00 руб.",,,"Юго-Западный административный округ, Южное Бутово, улица Маршала Савицкого, дом 30, корпус 1, Этаж № 1",77:06:0012020:16992,Бульвар Дмитрия Донского (108 мин),1 этаж,14,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,03.04.2024 20:00:00,16.05.2024 15:00:00,23.05.2024 10:00,28.05.2024 10:00,28.05.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000019208,
https://investmoscow.ru/tenders/tender/19606726,19606726,130.5,25646300.0,196523.37,"5 129 260,00 руб.","1 282 315,00 руб.","25646300,00",0.0%,"Северо-Восточный административный округ, Северное Медведково, проезд Шокальского, дом 27, корпус 2, этаж 1, помещение 2/1 (IX)",77:02:0004007:5794,Медведково (16 мин),1,15,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,14.06.2024 10:00:00,05.08.2024 15:00:00,12.08.2024 10:00,13.08.2024 10:00,14.08.2024 10:00,https://www.roseltorg.ru/procedure/21000005000000021043,
https://investmoscow.ru/tenders/tender/19666498,19666498,73.5,13435000.0,182789.12,"1 343 500,00 руб.","671 750,00 руб.",,,"Северный административный округ, Дмитровский, Ангарская улица, дом 51, корпус 2, Этаж № 1",77:09:0002018:8436,Яхромская (16 мин),1,17,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,21.08.2024 20:00:00,26.09.2024 15:00:00,03.10.2024 10:00,08.10.2024 10:00,08.10.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000022211,
https://investmoscow.ru/tenders/tender/19529014,19529014,111.5,15006000.0,134582.96,"3 001 200,00 руб.","750 300,00 руб.",,,"Центральный административный округ, Таганский, 1-й Гончарный переулок, дом 7, Этаж № 1",77:01:0002023:3494,Таганская (1 мин),1,10,,nsi:1032:1032004,Открытый аукцион в электронной форме,2024,Завершено,12.03.2024 20:00:00,15.04.2024 15:00:00,22.04.2024 10:00,25.04.2024 10:00,25.04.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000018759,
https://investmoscow.ru/tenders/tender/19516256,19516256,111.5,15006000.0,134582.96,"3 001 200,00 руб.","750 300,00 руб.",,,"Центральный административный округ, Таганский, 1-й Гончарный переулок, дом 7, Этаж № 1",77:01:0002023:3494,Таганская (1 мин),1,10,,nsi:1032:1032004,Открытый аукцион в электронной форме,2024,Завершено,22.02.2024 20:00:00,25.03.2024 15:00:00,01.04.2024 10:00,04.04.2024 10:00,04.04.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000018492,
https://investmoscow.ru/tenders/tender/19414767,19414767,211.5,15065000.0,71229.31,"1 506 500,00 руб.","376 625,00 руб.",,,"Южный административный округ, Нагатино-Садовники, Каширское шоссе, дом 11, корпус 1, подвал № 0, этаж № 1",77:05:0004015:2783,Нагатинская (23 мин),"Подвал, 1",8,,Вход через места общего пользования,Публичное предложение,2024,Завершено,17.11.2023 20:00:00,15.01.2024 15:00:00,22.01.2024 10:00,24.01.2024 10:00,24.01.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000016877,
https://investmoscow.ru/tenders/tender/19507459,19507459,177.4,14497000.0,81719.28,"1 449 700,00 руб.","724 850,00 руб.",,,"Северный административный округ, Сокол, Ленинградский проспект, дом 77, корпус 3, Подвал № 0",77:09:0004021:5582,Сокол (9 мин),Подвал,9,,Вход через подъезд,Открытый аукцион в электронной форме,2024,Завершено,20.02.2024 20:00:00,25.03.2024 15:00:00,01.04.2024 10:00,03.04.2024 10:00,03.04.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000018466,
