url,номер_лота,площадь_м²,начальная_цена_руб,цена_за_м²,размер_задатка_руб,шаг_аукциона_руб,итоговая_цена_руб,превышение_цены_%,адрес,кадастровый_номер,метро,этаж,этажность,функциональное_назначение,тип_входа,форма_проведения,год_торгов,статус,дата_начала_приёма,дата_окончания_приёма,дата_отбора_участников,дата_проведения_торгов,дата_подведения_итогов,platformLink,ссылка_на_протокол,????????_????????_????,????????_????_????????????
https://investmoscow.ru/tenders/tender/19813381,19813381,134.4,14899000.0,110855.65,"1 489 900,00 руб.","744 950,00 руб.","16388900,00",10.0%,"Северо-Западный административный округ, Щукино, улица Академика Бочвара, дом 8, Цокольный этаж № 0",77:08:0009011:5225,Щукинская (0 мин),Цоколь,9.0,,Вход через места общего пользования,Открытый аукцион в электронной форме,2025,Завершено,04.07.2025 20:00:00,18.08.2025 15:00:00,25.08.2025 10:00,27.08.2025 10:00,27.08.2025 17:00,https://www.roseltorg.ru/procedure/21000005000000025847/1,,protocol,true
https://investmoscow.ru/tenders/tender/19794697,19794697,134.4,14899000.0,110855.65,"1 489 900,00 руб.","744 950,00 руб.",,,"Северо-Западный административный округ, Щукино, улица Академика Бочвара, дом 8, Цокольный этаж № 0",77:08:0009011:5225,Щукинская (0 мин),Цоколь,9.0,,Вход через места общего пользования,Открытый аукцион в электронной форме,2025,Завершено,12.05.2025 20:00:00,18.06.2025 15:00:00,25.06.2025 10:00,27.06.2025 10:00,27.06.2025 17:00,https://www.roseltorg.ru/procedure/21000005000000025443/1,,missing,false
https://investmoscow.ru/tenders/tender/19885117,19885117,83.8,11005000.0,131324.58,"1 100 500,00 руб.","550 250,00 руб.","16507500,00",50.0%,"Центральный административный округ, Басманный, Подсосенский переулок, дом 13, Подвал № 0",77:01:0001027:3632,Курская (8 мин),Подвал,6.0,,Вход через места общего пользования,Открытый аукцион в электронной форме,2025,Завершено,01.10.2025 20:00:00,06.11.2025 15:00:00,13.11.2025 10:00,18.11.2025 10:00,18.11.2025 17:00,https://www.roseltorg.ru/procedure/21000005000000026877/1,,protocol,true
https://investmoscow.ru/tenders/tender/19721117,19721117,173.3,30063000.0,173473.74,"3 006 300,00 руб.","1 503 150,00 руб.",,,"Западный административный округ, Фили-Давыдково, Кременчугская улица, дом 3, корпус 4, Этаж № 1",77:07:0009004:5947,Славянский бульвар (15 мин),1,22.0,,Отдельный,Открытый аукцион в электронной форме,2025,Завершено,13.11.2024 20:00:00,17.02.2025 15:00:00,24.02.2025 10:00,26.02.2025 10:00,26.02.2025 17:00,https://www.roseltorg.ru/procedure/21000005000000023684,,missing,false
https://investmoscow.ru/tenders/tender/19924919,19924919,156.5,12955000.0,82779.55,"1 295 500,00 руб.","647 750,00 руб.","14898250,00",15.0%,"Центральный административный округ, Красносельский, Красносельский тупик, дом 5, Подвал № 0",77:01:0003037:3199,Красносельская (5 мин),Подвал,5.0,,Отдельный,Открытый аукцион в электронной форме,2025,Завершено,10.11.2025 20:00:00,11.12.2025 15:00:00,18.12.2025 10:00,23.12.2025 10:00,23.12.2025 17:00,https://www.roseltorg.ru/procedure/21000005000000027620/1,,protocol,true
https://investmoscow.ru/tenders/tender/19777153,19777153,188.6,44480541.0,235845.92,"2 224 027,05 руб.","1 112 013,52 руб.",,,"Центральный административный округ, Красносельский, Красносельский тупик, дом 5, 1 этаж",77:01:0003037:3201,Красносельская (1 мин),1 этаж,5.0,,Отдельный,Публичное предложение,2025,Завершено,16.04.2025 20:00:00,19.05.2025 15:00:00,22.05.2025 10:00,26.05.2025 10:00,26.05.2025 17:00,https://www.roseltorg.ru/procedure/178fz16042500001/1,,missing,false
https://investmoscow.ru/tenders/tender/19737890,19737890,188.6,44480541.0,235845.92,"2 224 027,05 руб.","444 805,41 руб.",,,"Центральный административный округ, Красносельский, Красносельский тупик, дом 5, 1 этаж",77:01:0003037:3201,Красносельская (1 мин),1 этаж,5.0,,Отдельный,Открытый аукцион в электронной форме,2025,Завершено,24.01.2025 20:00:00,03.03.2025 15:00:00,10.03.2025 10:00,13.03.2025 10:00,13.03.2025 17:00,https://www.roseltorg.ru/procedure/178fz24012500036/1,,missing,false
https://investmoscow.ru/tenders/tender/19828525,19828525,336.5,63118000.0,187572.07,"6 311 800,00 руб.","3 155 900,00 руб.","110456500,00",75.0%,"Северо-Восточный административный округ, Лосиноостровский, Осташковский проезд, дом 8, строение 2, Этаж №1",77:02:0010003:6929,Бабушкинская (21 мин),1,1.0,,Отдельный,Открытый аукцион в электронной форме,2025,Завершено,06.08.2025 20:00:00,11.09.2025 15:00:00,18.09.2025 10:00,23.09.2025 10:00,23.09.2025 17:00,https://www.roseltorg.ru/procedure/21000005000000026159/1,,protocol,true
https://investmoscow.ru/tenders/tender/19875454,19875454,20.3,1142000.0,56256.16,"114 200,00 руб.","57 100,00 руб.","2626600,00",130.0%,"Северо-Восточный административный округ, Бабушкинский, Радужная улица, дом 15, корпус 2, Подвал № 0",77:02:0015004:4029,Свиблово (11 мин),Подвал,4.0,,Вход через места общего пользования,Открытый аукцион в электронной форме,2025,Завершено,23.09.2025 20:00:00,29.10.2025 15:00:00,05.11.2025 10:00,07.11.2025 10:00,07.11.2025 17:00,https://www.roseltorg.ru/procedure/21000005000000026748/1,,protocol,true
https://investmoscow.ru/tenders/tender/19843906,19843906,226.8,36900000.0,162698.41,"7 380 000,00 руб.","922 500,00 руб.",,,"Центральный административный округ, Басманный, улица Фридриха Энгельса, дом 23, строение 3, Этаж № 1, Этаж № 2","77:01:0003016:3933, 77:01:0003016:3807",Бауманская (5 мин),"1, 2",2.0,,Вход через места общего пользования,Публичное предложение,2025,Завершено,28.08.2025 20:00:00,30.09.2025 15:00:00,07.10.2025 10:00,10.10.2025 10:00,10.10.2025 17:00,https://www.roseltorg.ru/procedure/178fz28082500110/1,,missing,false
https://investmoscow.ru/tenders/tender/19803879,19803879,226.8,36900000.0,162698.41,"7 380 000,00 руб.","1 845 000,00 руб.",,,"Центральный административный округ, Басманный, улица Фридриха Энгельса, дом 23, строение 3, Этаж № 1, Этаж № 2","77:01:0003016:3933, 77:01:0003016:3807",Бауманская (5 мин),"1, 2",2.0,,Вход через места общего пользования,Открытый аукцион в электронной форме,2025,Завершено,11.06.2025 20:00:00,18.07.2025 15:00:00,25.07.2025 10:00,30.07.2025 10:00,30.07.2025 17:00,https://www.roseltorg.ru/procedure/178fz11062500007/1,,missing,false
https://investmoscow.ru/tenders/tender/19786916,19786916,226.8,36900000.0,162698.41,"7 380 000,00 руб.","1 845 000,00 руб.",,,"Центральный административный округ, Басманный, улица Фридриха Энгельса, дом 23, строение 3, Этаж № 1, Этаж № 2","77:01:0003016:3933, 77:01:0003016:3807",Бауманская (5 мин),"1, 2",2.0,,Вход через места общего пользования,Открытый аукцион в электронной форме,2025,Завершено,22.04.2025 20:00:00,26.05.2025 15:00:00,02.06.2025 10:00,05.06.2025 10:00,05.06.2025 17:00,https://www.roseltorg.ru/procedure/178fz22042500021/1,,missing,false
https://investmoscow.ru/tenders/tender/19757391,19757391,226.8,36900000.0,162698.41,"7 380 000,00 руб.","1 845 000,00 руб.",,,"Центральный административный округ, Басманный, улица Фридриха Энгельса, дом 23, строение 3, Этаж № 1, Этаж № 2","77:01:0003016:3933, 77:01:0003016:3807",Бауманская (5 мин),"1, 2",2.0,,Вход через места общего пользования,Открытый аукцион в электронной форме,2025,Завершено,03.03.2025 20:00:00,04.04.2025 15:00:00,11.04.2025 10:00,16.04.2025 10:00,16.04.2025 17:00,https://www.roseltorg.ru/procedure/178fz03032500002/1,,missing,false
