url,номер_лота,площадь_м²,начальная_цена_руб,цена_за_м²,размер_задатка_руб,шаг_аукциона_руб,итоговая_цена_руб,превышение_цены_%,адрес,кадастровый_номер,метро,этаж,этажность,функциональное_назначение,тип_входа,форма_проведения,год_торгов,статус,дата_начала_приёма,дата_окончания_приёма,дата_отбора_участников,дата_проведения_торгов,дата_подведения_итогов,platformLink,ссылка_на_протокол
https://investmoscow.ru/tenders/tender/19063161,19063161,72.5,9967728.0,137485.9,"500 000,00 руб.","99 677,28 руб.",,,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Кузьминки, Жигулёвская улица, дом 3А, корпус 2, этаж 1, пом. 4Н",77:04:0002017:6969,Кузьминки (11 мин),1,,,Отдельный,Открытый аукцион в электронной форме,2023,Завершено,05.05.2023 15:00:00,05.06.2023 15:00:00,06.06.2023 15:00,08.06.2023 10:00,08.06.2023 17:00,https://178fz.roseltorg.ru/#com/procedure/view/procedure/449012,
https://investmoscow.ru/tenders/tender/19063066,19063066,86.9,11947525.0,137485.9,"500 000,00 руб.","119 475,25 руб.",,,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Кузьминки, Жигулёвская улица, дом 3А, корпус 2, этаж 1, пом. 3Н",77:04:0002017:6968,Кузьминки (11 мин),1,,,Отдельный,Открытый аукцион в электронной форме,2023,Завершено,05.05.2023 15:00:00,05.06.2023 15:00:00,06.06.2023 15:00,08.06.2023 10:00,08.06.2023 17:00,https://178fz.roseltorg.ru/#com/procedure/view/procedure/449009,
https://investmoscow.ru/tenders/tender/19062957,19062957,67.6,9294048.0,137485.92,"500 000,00 руб.","92 940,48 руб.",,,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Кузьминки, Жигулёвская улица, дом 3А, корпус 2, этаж 1, пом. 2Н",77:04:0002017:6967,Кузьминки (11 мин),1,,,Отдельный,Открытый аукцион в электронной форме,2023,Завершено,05.05.2023 15:00:00,05.06.2023 15:00:00,06.06.2023 15:00,08.06.2023 10:00,08.06.2023 17:00,https://178fz.roseltorg.ru/#com/procedure/view/procedure/449003,
https://investmoscow.ru/tenders/tender/19147399,19147399,74.3,10215204.0,137485.92,"500 000,00 руб.","102 152,04 руб.","10215204,00",0.0%,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Кузьминки, Жигулёвская улица, дом 3А, корпус 1, этаж 1, пом. 2Н",77:04:0002017:7077,Кузьминки (10 мин),1,,,Отдельный,Открытый аукцион в электронной форме,2023,Завершено,07.07.2023 20:00:00,09.08.2023 15:00:00,10.08.2023 15:00,14.08.2023 10:00,14.08.2023 17:00,https://178fz.roseltorg.ru/#com/procedure/view/procedure/462004,
https://investmoscow.ru/tenders/tender/19147414,19147414,70.3,9665261.0,137485.93,"500 000,00 руб.","96 652,61 руб.","9858566,22",2.0%,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Кузьминки, Жигулёвская улица, дом 3А, корпус 1, этаж 1, пом. 3Н",77:04:0002017:7078,Кузьминки (10 мин),1,,,Отдельный,Открытый аукцион в электронной форме,2023,Завершено,07.07.2023 20:00:00,09.08.2023 15:00:00,10.08.2023 15:00,14.08.2023 10:00,14.08.2023 17:00,https://178fz.roseltorg.ru/#com/procedure/view/procedure/462005,
https://investmoscow.ru/tenders/tender/19147382,19147382,109.0,13479671.0,123666.71,"500 000,00 руб.","134 796,71 руб.","18062759,14",34.0%,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Кузьминки, Жигулёвская улица, дом 3А, корпус 1, этаж 1, пом. 1Н",77:04:0002017:7076,Кузьминки (10 мин),1,,,Отдельный,Открытый аукцион в электронной форме,2023,Завершено,07.07.2023 20:00:00,09.08.2023 15:00:00,10.08.2023 15:00,14.08.2023 10:00,14.08.2023 17:00,https://178fz.roseltorg.ru/#com/procedure/view/procedure/462003,
https://investmoscow.ru/tenders/tender/19062716,19062716,70.3,9665261.0,137485.93,"500 000,00 руб.","96 652,61 руб.",,,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Кузьминки, Жигулёвская улица, дом 3А, корпус 1, этаж 1, пом. 3Н",77:04:0002017:7078,Кузьминки (10 мин),1,,,Отдельный,Открытый аукцион в электронной форме,2023,Завершено,05.05.2023 20:00:00,05.06.2023 15:00:00,06.06.2023 15:00,08.06.2023 10:00,08.06.2023 17:00,https://178fz.roseltorg.ru/#com/procedure/view/procedure/448958,
https://investmoscow.ru/tenders/tender/19062596,19062596,74.3,10215204.0,137485.92,"500 000,00 руб.","102 152,04 руб.",,,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Кузьминки, Жигулёвская улица, дом 3А, корпус 1, этаж 1, пом. 2Н",77:04:0002017:7077,Кузьминки (10 мин),1,,,Отдельный,Открытый аукцион в электронной форме,2023,Завершено,04.05.2023 20:00:00,05.06.2023 15:00:00,06.06.2023 15:00,08.06.2023 10:00,08.06.2023 17:00,https://178fz.roseltorg.ru/#com/procedure/view/procedure/448592,
https://investmoscow.ru/tenders/tender/19062514,19062514,109.0,13479671.0,123666.71,"500 000,00 руб.","134 796,71 руб.",,,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Кузьминки, Жигулёвская улица, дом 3А, корпус 1, этаж 1, пом. 1Н",77:04:0002017:7076,Кузьминки (10 мин),1,,,Отдельный,Открытый аукцион в электронной форме,2023,Завершено,04.05.2023 20:00:00,05.06.2023 15:00:00,06.06.2023 15:00,08.06.2023 10:00,08.06.2023 17:00,https://178fz.roseltorg.ru/#com/procedure/view/procedure/448868,
https://investmoscow.ru/tenders/tender/19147538,19147538,183.6,27160124.0,147930.96,"500 000,00 руб.","271 601,24 руб.",,,"г. Москва, проезд Измайловский, д. 5/1, корп. 1, этаж 1, пом. 2Н",77:03:0005001:12823,Измайловская (20 мин),1,12,,Отдельный,Открытый аукцион в электронной форме,2023,Завершено,07.07.2023 20:00:00,09.08.2023 15:00:00,10.08.2023 15:00,14.08.2023 10:00,14.08.2023 17:00,https://178fz.roseltorg.ru/#com/procedure/view/procedure/462057,
https://investmoscow.ru/tenders/tender/19064134,19064134,183.6,27160124.0,147930.96,"500 000,00 руб.","271 601,24 руб.",,,"г. Москва, проезд Измайловский, д. 5/1, корп. 1, этаж 1, пом. 2Н",77:03:0005001:12823,Измайловская (20 мин),1,12,,Отдельный,Открытый аукцион в электронной форме,2023,Завершено,05.05.2023 15:00:00,05.06.2023 15:00:00,06.06.2023 15:00,08.06.2023 10:00,08.06.2023 17:00,https://178fz.roseltorg.ru/#com/procedure/view/procedure/448932,
https://investmoscow.ru/tenders/tender/19147519,19147519,107.0,13155100.0,122944.86,"500 000,00 руб.","131 551,00 руб.","13155100,00",0.0%,"г. Москва, пос. Рязановское, п. Знамя Октября, д. 3, корп. 1, этаж 1, пом. 7Н",77:20:0020425:2507,Бунинская Аллея (103 мин),1,12,,Отдельный,Открытый аукцион в электронной форме,2023,Завершено,07.07.2023 20:00:00,09.08.2023 15:00:00,10.08.2023 15:00,14.08.2023 10:00,14.08.2023 17:00,https://178fz.roseltorg.ru/#com/procedure/view/procedure/462055,
https://investmoscow.ru/tenders/tender/19147508,19147508,52.3,7142805.0,136573.71,"500 000,00 руб.","71 428,05 руб.","9571358,70",34.0%,"г. Москва, пос. Рязановское, п. Знамя Октября, д. 3, корп. 1, этаж 1, пом. 6Н",77:20:0020425:2506,Бунинская Аллея (103 мин),1,12,,Отдельный,Открытый аукцион в электронной форме,2023,Завершено,07.07.2023 20:00:00,09.08.2023 15:00:00,10.08.2023 15:00,14.08.2023 10:00,14.08.2023 17:00,https://178fz.roseltorg.ru/#com/procedure/view/procedure/462052,
