url,номер_лота,площадь_м²,начальная_цена_руб,цена_за_м²,размер_задатка_руб,шаг_аукциона_руб,итоговая_цена_руб,превышение_цены_%,адрес,кадастровый_номер,метро,этаж,этажность,функциональное_назначение,тип_входа,форма_проведения,год_торгов,статус,дата_начала_приёма,дата_окончания_приёма,дата_отбора_участников,дата_проведения_торгов,дата_подведения_итогов,platformLink,ссылка_на_протокол,latitude,longitude,????????_????????_????,????????_????_????????????
https://investmoscow.ru/tenders/tender/19679394,19679394,62.8,15895000.0,253105.1,"500 000,00 руб.","79 475,00 руб.","20663500,00",30.0%,"Южный административный округ, Даниловский, Дубининская улица, дом 69А, этаж 1, пом. 6Н",77:05:0001003:2928,Тульская (13 мин),1,19.0,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,17.09.2024 20:00:00,18.10.2024 15:00:00,25.10.2024 15:00,29.10.2024 10:00,29.10.2024 17:00,https://www.roseltorg.ru/procedure/178fz17092400008,,55.7129934,37.6337486,page,false
https://investmoscow.ru/tenders/tender/19679397,19679397,106.7,17992000.0,168622.31,"500 000,00 руб.","89 960,00 руб.","23569520,00",31.0%,"Юго-Восточный административный округ, Кузьминки, Зеленодольская улица, дом 30, корпус 1, этаж 1, пом. 2Н",77:04:0002017:7332,Кузьминки (9 мин),1,,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,17.09.2024 20:00:00,18.10.2024 15:00:00,25.10.2024 15:00,29.10.2024 10:00,29.10.2024 17:00,https://www.roseltorg.ru/procedure/178fz17092400016,,55.711268,37.769161,page,false
https://investmoscow.ru/tenders/tender/19679399,19679399,48.3,9438000.0,195403.73,"500 000,00 руб.","47 190,00 руб.","13071630,00",38.5%,"Юго-Восточный административный округ, Кузьминки, Зеленодольская улица, дом 30, корпус 1, этаж 1, пом. 3Н",77:04:0002017:7333,Кузьминки (9 мин),1,,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,17.09.2024 20:00:00,18.10.2024 15:00:00,25.10.2024 15:00,29.10.2024 10:00,29.10.2024 17:00,https://www.roseltorg.ru/procedure/178fz17092400017,,55.711268,37.769161,page,false
https://investmoscow.ru/tenders/tender/19679401,19679401,57.3,10952000.0,191134.38,"500 000,00 руб.","54 760,00 руб.","15989920,00",46.0%,"Юго-Восточный административный округ, Кузьминки, Зеленодольская улица, дом 30, корпус 1, этаж 1, пом. 4Н",77:04:0002017:7334,Кузьминки (9 мин),1,,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,17.09.2024 20:00:00,18.10.2024 15:00:00,25.10.2024 15:00,29.10.2024 10:00,29.10.2024 17:00,https://www.roseltorg.ru/procedure/178fz17092400023,,55.711268,37.769161,page,false
https://investmoscow.ru/tenders/tender/19679522,19679522,122.0,21179000.0,173598.36,"500 000,00 руб.","105 895,00 руб.","21179000,00",0.0%,"Юго-Восточный административный округ, Капотня, 1-й квартал Капотня, дом 1, этаж 1, пом. 10Н",77:04:0004021:12022,Братиславская (49 мин),1,12.0,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,17.09.2024 20:00:00,18.10.2024 15:00:00,25.10.2024 15:00,29.10.2024 10:00,29.10.2024 17:00,https://www.roseltorg.ru/procedure/178fz17092400024,,55.640102,37.791622,page,false
https://investmoscow.ru/tenders/tender/19679525,19679525,127.5,21690000.0,170117.65,"500 000,00 руб.","108 450,00 руб.","23316750,00",7.5%,"Юго-Восточный административный округ, Капотня, 1-й квартал Капотня, дом 1, этаж 1, пом. 17Н",77:04:0004021:12030,Братиславская (49 мин),1,12.0,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,17.09.2024 20:00:00,18.10.2024 15:00:00,25.10.2024 15:00,29.10.2024 10:00,29.10.2024 17:00,https://www.roseltorg.ru/procedure/178fz17092400025,,55.640102,37.791622,page,false
https://investmoscow.ru/tenders/tender/19679526,19679526,120.5,20974000.0,174058.09,"500 000,00 руб.","104 870,00 руб.","20974000,00",0.0%,"Юго-Восточный административный округ, Капотня, 1-й квартал Капотня, дом 1, этаж 1, пом. 28Н",77:04:0004021:12042,Братиславская (49 мин),1,12.0,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,17.09.2024 20:00:00,18.10.2024 15:00:00,25.10.2024 15:00,29.10.2024 10:00,29.10.2024 17:00,https://www.roseltorg.ru/procedure/178fz17092400011,,55.640102,37.791622,page,false
https://investmoscow.ru/tenders/tender/19679528,19679528,166.5,35541000.0,213459.46,"500 000,00 руб.","177 705,00 руб.",,,"Южный административный округ, Нагатино-Садовники, Каширское шоссе, дом 11, корпус 3, этаж 1, пом. 2Н",77:05:0004004:6755,Нагорная (1 мин),1,,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,17.09.2024 20:00:00,18.10.2024 15:00:00,25.10.2024 15:00,29.10.2024 10:00,29.10.2024 17:00,https://www.roseltorg.ru/procedure/178fz17092400012,,55.667503,37.630948,missing,false
https://investmoscow.ru/tenders/tender/19679529,19679529,83.5,17851000.0,213784.43,"500 000,00 руб.","89 255,00 руб.","17851000,00",0.0%,"Юго-Западный административный округ, Зюзино, Керченская улица, дом 2, этаж 1, пом. 2Н",77:06:0005008:4366,Зюзино (11 мин),1,22.0,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,17.09.2024 20:00:00,18.10.2024 15:00:00,25.10.2024 15:00,29.10.2024 10:00,29.10.2024 17:00,https://www.roseltorg.ru/procedure/178fz17092400013,,55.6598962455,37.5857573748,page,false
https://investmoscow.ru/tenders/tender/19679530,19679530,171.2,27278000.0,159334.11,"500 000,00 руб.","136 390,00 руб.","39825880,00",46.0%,"Северный административный округ, Дмитровский, Клязьминская улица, дом 28А, этаж 1, пом. 6Н",77:09:0002004:4295,,1,,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,17.09.2024 20:00:00,18.10.2024 15:00:00,25.10.2024 15:00,29.10.2024 10:00,29.10.2024 17:00,https://www.roseltorg.ru/procedure/178fz17092400014,,55.8935373,37.5300827,page,false
https://investmoscow.ru/tenders/tender/19679575,19679575,101.1,26756000.0,264648.86,"500 000,00 руб.","133 780,00 руб.","30501840,00",14.0%,"Западный административный округ, Можайский, улица Красных Зорь, дом 23, этаж 1, пом. 1Н",77:07:0008003:12802,Кунцевская (14 мин),1,24.0,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,17.09.2024 20:00:00,18.10.2024 15:00:00,25.10.2024 15:00,29.10.2024 10:00,29.10.2024 17:00,https://www.roseltorg.ru/procedure/178fz17092400015,,55.7247522,37.4346297,page,false
https://investmoscow.ru/tenders/tender/19679576,19679576,126.4,32192000.0,254683.54,"500 000,00 руб.","160 960,00 руб.",,,"Западный административный округ, Можайский, улица Красных Зорь, дом 23, этаж 1, пом. 22Н",77:07:0008003:12825,Кунцевская (1 мин),1,24.0,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,17.09.2024 20:00:00,18.10.2024 15:00:00,25.10.2024 15:00,29.10.2024 10:00,29.10.2024 17:00,https://www.roseltorg.ru/procedure/178fz17092400001,,55.7247522,37.4346297,missing,false
https://investmoscow.ru/tenders/tender/19679577,19679577,112.9,25787000.0,228405.67,"500 000,00 руб.","128 935,00 руб.",,,"улица Металлургов, дом 30, корпус 1, этаж 1, пом. 1Н",77:03:0006012:10246,Новогиреево (1 мин),1,,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,17.09.2024 20:00:00,18.10.2024 15:00:00,25.10.2024 15:00,29.10.2024 10:00,29.10.2024 17:00,https://www.roseltorg.ru/procedure/178fz17092400002,,55.758848,37.791603,missing,false
https://investmoscow.ru/tenders/tender/19679578,19679578,155.8,33808000.0,216996.15,"500 000,00 руб.","169 040,00 руб.","35160320,00",4.0%,"улица Металлургов, дом 30, корпус 1, этаж 1, пом. 2Н",77:03:0006012:10247,Новогиреево (22 мин),1,,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,17.09.2024 20:00:00,18.10.2024 15:00:00,25.10.2024 15:00,29.10.2024 10:00,29.10.2024 17:00,https://www.roseltorg.ru/procedure/178fz17092400007,,55.758848,37.791603,page,false
https://investmoscow.ru/tenders/tender/19679579,19679579,145.8,33367000.0,228854.6,"500 000,00 руб.","166 835,00 руб.","51385180,00",54.0%,"Юго-Западный административный округ, Академический, Новочерёмушкинская улица, дом 27, этаж 1, пом. 3Н",77:06:0004002:10658,Профсоюзная (13 мин),1,13.0,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,17.09.2024 20:00:00,18.10.2024 15:00:00,25.10.2024 15:00,29.10.2024 10:00,29.10.2024 17:00,https://www.roseltorg.ru/procedure/178fz17092400009,,55.6797382459,37.5776211631,page,false
https://investmoscow.ru/tenders/tender/19679580,19679580,157.5,29712000.0,188647.62,"500 000,00 руб.","148 560,00 руб.","35951520,00",21.0%,"Новочерёмушкинская улица, дом 56/3, этаж 1, пом. 18Н",77:06:0004004:10285,Академическая (26 мин),1,,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,17.09.2024 20:00:00,18.10.2024 15:00:00,25.10.2024 15:00,29.10.2024 10:00,29.10.2024 17:00,https://www.roseltorg.ru/procedure/178fz17092400010,,55.670671,37.5611945,page,false
https://investmoscow.ru/tenders/tender/19679636,19679636,134.1,25673000.0,191446.68,"500 000,00 руб.","128 365,00 руб.","32733075,00",27.5%,"Новочерёмушкинская улица, дом 56/3, этаж 1, пом. 21Н",77:06:0004004:10288,Академическая (26 мин),1,,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,18.09.2024 20:00:00,21.10.2024 15:00:00,28.10.2024 15:00,30.10.2024 10:00,30.10.2024 17:00,https://www.roseltorg.ru/procedure/178fz18092400017,,55.670671,37.5611945,page,false
https://investmoscow.ru/tenders/tender/19679640,19679640,76.1,12710013.0,167017.25,"500 000,00 руб.","63 550,06 руб.","15823966,43",24.5%,"Восточный административный округ, Метрогородок, Открытое шоссе, дом 30, этаж 1, пом. 45Н",77:03:0002004:12749,Бульвар Рокоссовского (34 мин),1,,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,18.09.2024 20:00:00,21.10.2024 15:00:00,28.10.2024 15:00,30.10.2024 10:00,30.10.2024 17:00,https://www.roseltorg.ru/procedure/178fz18092400030,,55.828334,37.770341,page,false
https://investmoscow.ru/tenders/tender/19679641,19679641,100.9,19181000.0,190099.11,"500 000,00 руб.","95 905,00 руб.",,,"Восточный административный округ, Метрогородок, Открытое шоссе, дом 30, этаж 1, пом. 46Н",77:03:0002004:12750,Бульвар Рокоссовского (1 мин),1,,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,18.09.2024 20:00:00,21.10.2024 15:00:00,28.10.2024 15:00,30.10.2024 10:00,30.10.2024 17:00,https://www.roseltorg.ru/procedure/178fz18092400026,,55.828334,37.770341,missing,false
https://investmoscow.ru/tenders/tender/19679642,19679642,127.5,23347000.0,183113.73,"500 000,00 руб.","116 735,00 руб.",,,"Восточный административный округ, Метрогородок, Открытое шоссе, дом 30, этаж 1, пом. 48Н",77:03:0002004:12752,Бульвар Рокоссовского (1 мин),1,,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,18.09.2024 20:00:00,21.10.2024 15:00:00,28.10.2024 15:00,30.10.2024 10:00,30.10.2024 17:00,https://www.roseltorg.ru/procedure/178fz18092400027,,55.828334,37.770341,missing,false
