url,номер_лота,площадь_м²,начальная_цена_руб,цена_за_м²,размер_задатка_руб,шаг_аукциона_руб,итоговая_цена_руб,превышение_цены_%,адрес,кадастровый_номер,метро,этаж,этажность,функциональное_назначение,тип_входа,форма_проведения,год_торгов,статус,дата_начала_приёма,дата_окончания_приёма,дата_отбора_участников,дата_проведения_торгов,дата_подведения_итогов,platformLink,ссылка_на_протокол,latitude,longitude,????????_????????_????,????????_????_????????????,есть_протокол_отказа,?????_??????????
https://investmoscow.ru/tenders/tender/19664078,19664078,8.9,947000.0,106404.49,"94 700,00 руб.","47 350,00 руб.",3030400.0,220.0%,"Центральный административный округ, Пресненский, Волков переулок, дом 7-9, строение 3, Подвал № 0",77:01:0004022:2637,Краснопресненская (6 мин),Подвал,5.0,,Вход через подъезд,Открытый аукцион в электронной форме,2024,Завершено,19.08.2024 20:00:00,19.09.2024 15:00:00,26.09.2024 10:00,01.10.2024 10:00,01.10.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000022102,,55.7631227,37.573147,page,False,,False
https://investmoscow.ru/tenders/tender/19664174,19664174,90.4,13880000.0,153539.82,"1 388 000,00 руб.","694 000,00 руб.",13880000.0,0.0%,"город Зеленоград, корпус 331, Этаж № 1",77:10:0004005:4198,Ховрино (276 мин),1,10.0,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,19.08.2024 20:00:00,19.09.2024 15:00:00,26.09.2024 10:00,01.10.2024 10:00,01.10.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000022115,,55.99583,37.220625,page,False,,False
https://investmoscow.ru/tenders/tender/19664366,19664366,232.6,23545000.0,101225.28,"2 354 500,00 руб.","1 177 250,00 руб.",35317500.0,50.0%,"Юго-Западный административный округ, Котловка, улица Ремизова, дом 8, Цокольный этаж № 0",77:05:0003003:6298,Нагорная (12 мин),Цоколь,5.0,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,19.08.2024 20:00:00,19.09.2024 15:00:00,26.09.2024 10:00,01.10.2024 10:00,01.10.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000022107,,55.677168,37.598854,page,False,,False
https://investmoscow.ru/tenders/tender/19664431,19664431,292.4,49888000.0,170615.6,"4 988 800,00 руб.","2 494 400,00 руб.",57371200.0,15.0%,"Центральный административный округ, Басманный, Семёновская набережная, дом 3/1, корпус 4, Этаж № 1",77:01:0003030:3977,Электрозаводская (4 мин),1,10.0,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,19.08.2024 20:00:00,19.09.2024 15:00:00,26.09.2024 10:00,01.10.2024 10:00,01.10.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000022112,,55.7780277,37.7045096,page,False,,False
https://investmoscow.ru/tenders/tender/19666620,19666620,44.8,7058000.0,157544.64,"705 800,00 руб.","352 900,00 руб.",7058000.0,0.0%,"Восточный административный округ, Новокосино, Салтыковская улица, дом 5, корпус 2, Этаж № 1",77:03:0009004:13535,Новокосино (19 мин),1,7.0,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,21.08.2024 20:00:00,26.09.2024 15:00:00,03.10.2024 10:00,08.10.2024 10:00,08.10.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000022204,,55.7326977,37.8596334,page,False,,False
https://investmoscow.ru/tenders/tender/19666717,19666717,232.4,11733000.0,50486.23,"1 173 300,00 руб.","586 650,00 руб.",11733000.0,0.0%,"Восточный административный округ, Соколиная гора, проспект Будённого, дом 27, Подвал № 0",77:03:0004007:12171,Соколиная гора (15 мин),Подвал,8.0,,Вход через подъезд,Открытый аукцион в электронной форме,2024,Завершено,21.08.2024 20:00:00,26.09.2024 15:00:00,03.10.2024 10:00,08.10.2024 10:00,08.10.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000022210,,55.7689208,37.7297998,page,False,,False
https://investmoscow.ru/tenders/tender/19667129,19667129,29.6,2207000.0,74560.81,"220 700,00 руб.","110 350,00 руб.",5296800.0,140.0%,"Центральный административный округ, Хамовники, Российская Федерация, город Москва, внутригородская территория муниципальный округ Хамовники, Фрунзенская набережная, дом 50, Подвал 
№ 0",77:01:0005018:7779,Спортивная (13 мин),Подвал,16.0,,Вход через места общего пользования,Открытый аукцион в электронной форме,2024,Завершено,22.08.2024 20:00:00,25.09.2024 15:00:00,02.10.2024 10:00,04.10.2024 10:00,04.10.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000022214,,55.7187418,37.5768879,page,False,,False
https://investmoscow.ru/tenders/tender/19667608,19667608,100.5,32777900.0,326148.26,"3 277 790,00 руб.","1 638 895,00 руб.",57361325.0,75.0%,"Западный административный округ, Филевский парк, Береговой проезд, дом 1А, этаж 1, помещение 69н",77:07:0002003:13171,Фили (16 мин),1,28.0,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,02.09.2024 10:00:00,19.11.2024 15:00:00,26.11.2024 10:00,27.11.2024 10:00,28.11.2024 10:00,https://www.roseltorg.ru/procedure/21000005000000022589,,55.7573614,37.5118884,page,False,,False
https://investmoscow.ru/tenders/tender/19667627,19667627,139.5,32154400.0,230497.49,"3 215 440,00 руб.","1 607 720,00 руб.",48231600.0,50.0%,"Юго-Западный административный округ, Коньково, улица Введенского, дом 13В, этаж 1, помещение 2Н",77:06:0008005:5907,Беляево (14 мин),1,20.0,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,02.09.2024 10:00:00,19.11.2024 15:00:00,26.11.2024 10:00,27.11.2024 10:00,28.11.2024 10:00,https://www.roseltorg.ru/procedure/21000005000000022596,,55.641827,37.542723,page,False,,False
https://investmoscow.ru/tenders/tender/19667630,19667630,151.2,34506100.0,228214.95,"3 450 610,00 руб.","1 725 305,00 руб.",51759150.0,50.0%,"Юго-Западный административный округ, Коньково, улица Введенского, дом 13В, этаж 1, помещение 3Н",77:06:0008005:5909,Беляево (14 мин),1,20.0,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,02.09.2024 10:00:00,19.11.2024 15:00:00,26.11.2024 10:00,27.11.2024 10:00,28.11.2024 10:00,https://www.roseltorg.ru/procedure/21000005000000022623,,55.641827,37.542723,page,False,,False
