id,name,type,address,lat,lon
4959152543,Коррекционная школа-интернат VIII вида №29,school,,55.8015246,37.7016433
5045257699,Школа баристы и барменов,school,,55.8052147,37.528516
5054611710,"Школа ""Виктория""",school,Дружинниковская улица,55.7573563,37.5723477
5054611711,Свято-Димитриевская школа,school,Ленинский проспект,55.7232298,37.6002213
5092714240,Дополнительное образование школы № 601,school,,55.8034934,37.5409607
5113395065,Школа №370 им. генерала П. И. Батова,school,,55.810851,37.7292703
5199351212,Школа №334 (встр),school,,55.8049005,37.7927944
5224881204,"Частная школа-лицей ""Перспектива""",school,,55.5253982,37.6613218
5336819321,"Школа искусств ""Перспектива""",school,,55.5854819,37.7335077
5340244621,ФГБОУ СОШ Горки,school,Учительская улица,55.4961226,37.7696168
5375626463,Международная школа Wunderpark,school,,55.8150747,37.0369083
5377723138,,school,,55.8481353,37.4184787
5392473021,Перспектива,school,,55.6966698,37.5075131
5416332250,Гимназия Святителя Василия Великого,school,,55.62084,37.15642
5477281121,,school,,55.7276692,37.5339605
5601185228,Международный инновационный образовательный центр,school,,55.691929,37.6243869
5634481148,НОУ «Первая Школа»,school,улица Бусиновская Горка,55.8829735,37.4915995
5660523622,Православный центр непрерывного образования во имя прп. Серафима Саровского,school,,55.5903957,37.7598343
5800842228,Центр немецкого языка DE Lingua,school,улица Орджоникидзе,55.7063408,37.5965042
6039011974,Воскресная школа,school,,55.6037953,37.171006
6050114811,Big Ben,school,,55.6649753,37.7545153
6052716488,"АНО СДЦ ""Барс""",school,,55.6977391,37.7738466
6067290559,Барс,school,,55.7029264,37.7502666
6100272958,"Образовательный центр ""Юниум""",school,,55.74963,37.8232839
6299092036,Лицей НИУ ВШЭ,school,,55.7523702,37.6374355
6312334815,Классика,school,,55.5593378,36.9788068
6413499947,Итальянская школа им. Итало Кальвино,school,,55.682994,37.5341919
6413499948,Шведская школа,school,,55.6829965,37.5340337
6413499949,Московская финская школа,school,,55.682999,37.5338754
6413499950,Московская японская школа,school,,55.6830015,37.5337172
6518580941,Школа скорочтения,school,,55.7538074,37.8871429
6594526080,Байтик,school,,55.4873199,37.3064922
