_id,value,geo_lat,geo_lon
6db1fc98-f2bb-4354-932d-ed69017f586b,"г Москва, Ленинский пр-кт, д 41/2",55.706168,37.578801
d9dd71a8-87e1-421b-8c56-e0b1b2595f7e,"г Москва, 5-й Донской проезд, д 21 к 4",55.702957,37.593346
194f3549-48fd-46e6-a51c-a1d7bbdb68b0,"г Москва, Ленинский пр-кт, д 44",55.701318,37.567159
ff16ab1a-7dc3-47d6-b89b-b25bd9085ab3,"г Москва, ул Косыгина, д 10",55.707055,37.562604
92f338e9-4b14-4346-9941-82ca3ec0a53c,"г Москва, 5-й Донской проезд, д 21 к 3",55.70353,37.59533
22c689dd-18b3-449a-b8b0-631cd9d4a03c,"г Москва, ул Большая Очаковская, д 12 к 6",55.6864128,37.4604244
16bc4357-8462-4f18-8b3f-7b081d7a670f,"г Москва, Ленинский пр-кт, д 43 к 7",55.703545,37.577319
0bf120db-04d7-45e0-93ef-332fa5e3b7b2,"г Москва, ул Большая Очаковская, д 11",55.683666,37.458544
750f8b67-a00e-4216-894b-5062c1c7ad86,"г Москва, ул Большая Очаковская, д 42 к 1",55.676834,37.444826
c38260a8-006f-4cad-9939-2106234f633c,"г Москва, ул Лобачевского, д 118 к 1",55.693622,37.469189
42f87963-4705-4a26-9a08-c8c043818b1d,"г Москва, ул Василия Ланового, д 1 к 1",55.697238,37.476732
656e9bf1-721b-4942-a6a3-2f1f8005df9f,"г Москва, 5-й Донской проезд, д 21 к 9",55.701603,37.59391
2a422420-a138-4176-a1df-d8a8c17b7447,"г Москва, ул Лобачевского, д 118 к 4",55.693292,37.471524
c96019be-167a-4632-b77e-7fa2320d2c58,"г Москва, ул Большая Очаковская, д 45 к 1",55.674803,37.44585
55fb3404-305a-4d39-9b6b-2f5894bd5983,"г Москва, ул Вавилова, д 16",55.7043123,37.5827278
24223dc6-860f-48ef-9f51-2cfcf888eb53,"г Москва, 5-й Донской проезд, д 21 к 2",55.70356,37.594683
8fd40aa6-ddea-4ca5-878e-dfde459b97a2,"г Москва, ул Вавилова, д 10",55.705584,37.584901
4f5a9a5f-e4c4-4bb3-a3a4-ea7704d45656,"г Москва, ул Большая Очаковская, д 16",55.684006,37.45778
09d3f2b1-3b19-46d8-9a53-b99483bddce7,"г Москва, ул Марии Поливановой, д 4",55.679549,37.450162
82d72327-90f0-434e-94b6-569ba8cfc198,"г Москва, ул Лобачевского, д 118 к 5",55.69316,37.470599
46ee47c6-26e8-4493-9348-0182b6304c9a,"г Москва, ул Наташи Ковшовой, д 23",55.679311,37.44727
fd675e41-864a-4b57-929b-aa54ce017bd0,"г Москва, ул Большая Очаковская, д 44",55.675798,37.443982
893d60b6-8eae-4688-a395-3bfa2820ed0a,"г Москва, ул Косыгина, д 13 к 1",55.702835,37.563213
cb153024-cfb4-4ad8-8c94-cb7d7a99038a,"г Москва, ул Косыгина, д 9",55.70637,37.567608
90920180-55ea-4c71-bbcb-1ae35125c898,"г Москва, 4-й Очаковский пер, д 3",55.68297,37.454699
47df40ee-8604-4bcf-9e5e-6d933ab2a6f8,"г Москва, ул Никулинская, д 18 к 1",55.6734418,37.4477211
146b49a7-8524-4f2c-b6f5-f17df557b109,"г Москва, ул Большая Очаковская, д 43",55.6753543,37.4466111
48e1b853-f922-4e78-a1a4-43ab8b1f975a,"г Москва, ул Вавилова, д 18",55.703936,37.582008
ae42de32-a1e6-40db-a1fd-77d149b9afcc,"г Москва, ул Озёрная, д 14",55.68032,37.45746
4abea7a5-a053-43a5-b483-c95a43198754,"г Москва, ул Озёрная, д 12",55.68093,37.457745
7731c72d-6881-4cc1-8641-d12be3b01439,"г Москва, ул Озёрная, д 27",55.674362,37.453037
fc04228f-9034-4ef7-8ca9-a864a3946ed1,"г Москва, ул Озёрная, д 31 к 1",55.672448,37.450081
23f3c073-fa10-45ad-ba1b-1cb345e0747f,"г Москва, ул Озёрная, д 23 к 1",55.676403,37.454502
1b73d80e-d137-41d1-b66b-8703d4d4f857,"г Москва, ул Озёрная, д 2 к 1",55.688453,37.469392
5d9b082d-1cbd-44f1-99dd-be3fc8425f28,"г Москва, пр-кт Вернадского, д 59",55.672742,37.500477
a894cc5e-6d9a-4dfc-a5b0-fc68c8bbd3e3,"г Москва, ул Лобачевского, д 24",55.669569,37.507672
62b023cc-3911-4093-a38e-07df634868ef,"г Москва, ул Озёрная, д 19 к 2",55.676933,37.457141
f6a064bf-a441-441c-8a5f-b61dbb1d562d,"г Москва, ул Озёрная, д 38",55.67309,37.44892
e7cab442-3e2e-4b70-a1d1-de30dd4efc9a,"г Москва, ул Удальцова, д 47",55.674515,37.50608
31129f8a-d6b4-4405-9ac9-c06e59a51442,"г Москва, Ленинский пр-кт, д 92",55.670453,37.51777
f851bf80-03c9-4356-8f5e-9816e9b5a281,"г Москва, ул Удальцова, д 3 к 14",55.67228,37.508643
bc74eb1e-5d66-44ad-8c99-2dcdc8851691,"г Москва, ул Михаила Певцова, д 11",55.6690025,37.510646
456fba06-9c3e-4fec-a585-5a50c7456da9,"г Москва, ул Озёрная, д 31 к 2",55.67199,37.450533
cd7023ef-f258-4170-9c01-ef9b565b37f1,"г Москва, ул Новаторов, д 4",55.669254,37.521758
045321c4-ee52-4ca8-a651-979b6540da6c,"г Москва, ул Удальцова, д 3 к 10",55.670767,37.509487
57853121-b852-4151-892d-9dd94fb03a31,"г Москва, ул Озёрная, д 32 к 1",55.674788,37.450629
3acee99e-7a4f-4c91-9057-aec97aaff967,"г Москва, Саввинская наб, д 9",55.736878,37.56936
dde4641a-93a9-46a0-bdd6-db4c615bc0b7,"г Москва, ул Лобачевского, д 6",55.66623,37.506756
ece416cb-e8d4-4383-8da8-1a9f9eefe075,"г Москва, ул Обручева, д 5",55.662009,37.514248
8fcea008-c52d-4dee-bb92-78248fc827e4,"г Москва, ул Удальцова, д 37",55.674774,37.508186
aed4e7b5-6562-4f37-a3a3-219b803d1b77,"г Москва, ул Обручева, д 15 к 2",55.65989,37.517483
24df7aea-114a-4e7c-8c1a-8e0b1c22e2d3,"г Москва, ул Озёрная, д 29 к 1",55.6737593,37.4515137
938c94c3-a898-46ee-abbe-8811c542820e,"г Москва, пр-кт Вернадского, д 73",55.672351,37.507089
ca72d4c5-254f-4b1f-9084-b78051b3a4c2,"г Москва, пр-кт Вернадского, д 59А",55.671864,37.499058
d85988ac-b4ef-4dab-a5e8-b268773b4596,"г Москва, ул Обручева, д 19 к 3",55.658891,37.519521
ab060896-451a-4cf3-b5a6-2feb7eda3543,"г Москва, пр-кт Вернадского, д 37 к 1Б",55.677935,37.510448
8a4f0806-cf57-447e-8fde-180b990aac95,"г Москва, Ленинский пр-кт, д 116 к 1",55.667731,37.512119
0e14a2bb-8838-4149-991b-98c140cfaea2,"г Москва, ул Удальцова, д 17 к 2",55.672834,37.512829
47b1dd89-6605-45ca-9502-d12c24186224,"г Москва, Большой Саввинский пер, д 10 стр 1",55.733756,37.565811
908c0fe2-cb67-4ae3-b5b7-8f909cd5c6fd,"г Москва, Большой Саввинский пер, д 3",55.735581,37.570105
437fcf13-9d6c-425d-8232-96bad0fcbccf,"г Москва, пр-кт Вернадского, д 54",55.6736287,37.4948009
27616f6d-0642-4856-b321-9f2b032d8890,"г Москва, ул Малая Пироговская, д 16",55.728469,37.566485
b98aafef-0488-4dda-a4bf-1a956dff450b,"г Москва, ул Большая Пироговская, д 35А стр 1",55.729282,37.5657431
6011edf2-def6-4813-8ae0-b2376d4461e0,"г Москва, ул Лобачевского, д 92 к 1",55.679549,37.483876
b9c602c4-b66c-473d-89e2-9f9038bfb08b,"г Москва, пр-кт Вернадского, д 24А",55.674534,37.500576
845dc3c2-54da-4ce8-904c-cf124e4486f8,"г Москва, ул Веерная, д 1 к 2",55.706944,37.481864
7c263f25-297e-426c-acc2-c57d1cae420b,"г Москва, ул Коштоянца, д 1А",55.679234,37.492672
cd1f0c17-e97d-49c6-984d-6dc65852881a,"г Москва, Новодевичий проезд, д 8",55.730056,37.558472
